               alpha     variance_energy     expected_energy
                0.02        -631745.4682         802.6528803
                0.04         -358970.356         604.7458047
                0.06         -191111.385         440.8500237
                0.08        -172460.7947         418.9033677
                 0.1        -111465.4355         336.6731932
                0.12        -88367.68742         299.5858722
                0.14        -67918.84303          262.586625
                0.16         -54702.0547         235.5989716
                0.18        -46247.76587         216.5476167
                 0.2        -42081.65738         206.5609028
                0.22        -39893.78486         201.0604734
                0.24        -36112.52167         191.2334137
                0.26        -30078.86742         174.4994032
                0.28        -29904.63759         173.9606069
                 0.3        -27168.42487         165.7729291
                0.32        -24826.20817         158.4488941
                0.34        -25247.28586         159.7667743
                0.36        -24318.41035          156.781252
                0.38        -23462.14506         153.9786947
                 0.4        -23418.16299         153.8259431
                0.42        -22811.44715         151.8097652
                0.44        -22570.01515         150.9976404
                0.46        -22412.69358         150.4663961
                0.48        -22279.48139          150.015902
                 0.5              -22275                 150
                0.52        -22322.79606         150.1616083
                0.54        -22385.43817         150.3744352
                0.56        -22559.71033         150.9622031
                0.58          -22730.188          151.536438
                 0.6        -22914.60198         152.1558305
                0.62        -23443.65307         153.9075124
                0.64        -23765.39512         154.9669331
                0.66        -24074.38164         155.9788044
                0.68        -25052.38693         159.1182202
                 0.7        -24807.92245         158.3546736
                0.72        -25161.62103         159.4917055
                0.74        -26233.01949         162.8556603
                0.76        -26751.69363         164.4705795
                0.78        -27924.10931         168.0356766
                 0.8        -27212.66403         165.9026345
                0.82        -27680.09327         167.3343437
                0.84        -29063.24503         171.4605076
                0.86        -30006.63858         174.2258524
                0.88         -30058.5493         174.4027146
                 0.9        -30359.42469         175.2977747
                0.92        -32078.63618         180.1711059
                0.94         -32210.4958         180.5650034
                0.96        -33392.08351         183.8517546
                0.98         -33872.9198         185.1889123
                   1        -34633.72157         187.2641387
                1.02        -34860.56965         187.8909585
                1.04        -35169.16682         188.7663975
                1.06        -38589.82421         197.6871834
                1.08        -38947.76362         198.6115263
                 1.1        -40007.39922         201.3188819
                1.12        -38966.95445         198.7033159
                1.14        -40997.09568         203.8169707
                1.16        -40877.84241         203.5555324
                1.18        -41801.41981         205.8350158
                 1.2          -44303.321         211.8886829
                1.22        -45566.23794         214.8940632
                1.24        -46959.27982         218.1617845
                1.26        -46065.38297         216.1261602
                1.28        -47693.93096         219.8920176
                 1.3        -50551.09908          226.363719
                1.32        -51248.68289         227.9359635
                1.34        -52123.82141         229.8908431
                1.36        -52941.16139         231.7037025
                1.38        -55864.35437         237.9684171
                 1.4        -54818.28658         235.7923882
                1.42        -56754.88561         239.9148215
                1.44        -55927.43548         238.2034247
                1.46         -57971.0598         242.5139412
                1.48         -60834.6797         248.4062685
                 1.5        -60204.88115         247.1255607
                1.52        -62951.95781         252.7150352
                1.54        -68570.42952         263.7012648
                1.56        -66895.84769         260.4824192
                1.58        -64131.08563         255.1461717
                 1.6        -70938.70748         268.2449708
                1.62        -70639.71585         267.7274878
                1.64         -71687.0775         269.6961147
                1.66        -70826.00225         268.1598343
                1.68        -72350.56723         270.9975894
                 1.7        -73712.54974         273.5552912
                1.72        -77629.90947         280.6783901
                1.74        -81733.25395         287.9622452
                1.76        -82518.55671         289.3705777
                1.78        -84218.11236         292.3553638
                 1.8        -85864.71388         295.1749936
                1.82        -84007.07684         292.0681592
                1.84        -80548.62178         286.0321738
                1.86        -83355.85286         291.0031787
                1.88        -89480.38811         301.3980913
                 1.9         -92534.9804         306.4634403
                1.92        -93242.69658         307.6596302
                1.94        -95273.21908         311.0382785
                1.96        -99080.66808         317.1635294
                1.98        -96703.30556          313.389007
                   2        -100631.0835         319.6291847
