               alpha     variance_energy     expected_energy
                0.02        -36.30853717         6.056015654
                0.04         -143.879459          12.0554063
                0.06        -322.5311116         18.04962673
                0.08        -572.8938677         24.05578333
                 0.1        -894.1692016         30.05330687
                0.12        -1286.867172         36.05365251
                0.14        -1750.557324         42.05044287
                0.16        -2285.233618         48.04494572
                0.18        -2891.646663         54.04493719
                 0.2         -3569.48981         60.04619295
                0.22        -4319.123569         66.05112499
                0.24        -5138.246393         72.04268104
                0.26        -6029.382614         78.04028118
                0.28         -6991.77409         84.03807522
                 0.3        -8025.506969         90.03650764
                0.32        -9129.498825         96.02976621
                0.34         -10306.0501         102.0301506
                0.36        -11553.01633          108.026448
                0.38        -12871.26052          114.023126
                 0.4        -14260.78582         120.0201407
                0.42        -15721.41308          126.016726
                0.44         -17253.1679         132.0130385
                0.46        -18856.00421          138.008945
                0.48        -20529.92884         144.0045203
                 0.5              -22275                 150
                0.52        -24091.08906         155.9949787
                0.54         -25978.4785         161.9903928
                0.56        -27937.18134         167.9862348
                0.58        -29966.60064         173.9807276
                 0.6        -32067.11526         179.9750692
                0.62        -34239.97082         185.9726569
                0.64        -36481.48178         191.9634903
                0.66        -38797.53339         197.9631978
                0.68        -41181.19391          203.953832
                 0.7        -43635.58559         209.9436808
                0.72        -46161.57772         215.9348428
                0.74        -48764.90075         221.9402522
                0.76        -51434.32867         227.9339101
                0.78        -54172.19773         233.9217641
                 0.8        -56978.23367         239.9036713
                0.82         -59861.6649         245.8990206
                0.84        -62819.88118         251.9016188
                0.86        -65841.41151         257.8884961
                0.88        -68933.80206         263.8751661
                 0.9        -72106.51239         269.8793455
                0.92        -75348.82775         275.8802769
                0.94        -78649.09072         281.8572798
                0.96        -82046.62454         287.8808408
                0.98        -85488.35016         293.8568854
                   1         -88998.9761         299.8298784
                1.02        -92596.58889         305.8298683
                1.04        -96247.43546         311.8006291
                1.06        -99995.61226         317.8138911
                1.08        -103784.2078         323.7785257
                 1.1        -107674.6625         329.7912765
                1.12         -111615.615         335.7723127
                1.14        -115645.2636         341.7797508
                1.16        -119700.0739          347.719954
                1.18        -123887.2399         353.7493842
                 1.2        -128121.7028         359.7441623
                1.22        -132446.2272         365.7650456
                1.24        -136800.9106         371.7293893
                1.26        -141250.8235         377.7268858
                1.28         -145729.839         383.6689445
                 1.3         -150348.395         389.7012531
                1.32        -154981.9507         395.6607466
                1.34        -159715.6239          401.657708
                1.36        -164490.5907          407.617607
                1.38        -169402.4372         413.6587659
                 1.4         -174331.419         419.6335833
                1.42        -179324.3028         425.6003539
                1.44        -184451.4995         431.6418045
                1.46        -189553.8614         437.5711934
                1.48        -194770.6066         443.5515634
                 1.5        -200044.8101         449.5169266
                1.52        -205477.6229         455.5800223
                1.54        -210909.5974         461.5625631
                1.56         -216432.682         467.5669716
                1.58        -221987.2007         473.5287728
                 1.6        -227631.0915          479.510582
                1.62        -233351.1187         485.4978928
                1.64        -239128.8557         491.4715683
                1.66        -244976.0181          497.443994
                1.68        -250879.7372         503.4023043
                 1.7        -256964.1148         509.4700332
                1.72        -263091.6675         515.5086434
                1.74        -269154.3492         521.4145033
                1.76        -275357.3718         527.3886267
                1.78        -281678.0347         533.4072287
                 1.8        -288059.2467         539.4153683
                1.82        -294335.1459         545.2597856
                1.84        -300911.5101         551.3175357
                1.86        -307427.1749         557.2544362
                1.88        -314153.0541         563.3172482
                 1.9        -320784.4006          569.231634
                1.92        -327639.8093         575.2819377
                1.94        -334436.8155         581.2185231
                1.96        -341318.0604         587.1675446
                1.98        -348375.8689          593.207235
                   2        -355539.6595         599.2753747
