               alpha     variance_energy     expected_energy
                0.02        -1981344.642         1420.469228
                0.04        -690779.2091         838.4315277
                0.06        -315752.7165         566.5440321
                0.08        -236767.2147         490.5714882
                 0.1          -140350.83         377.6311253
                0.12        -103334.2883         323.9088083
                0.14        -79099.27737         283.3275438
                0.16        -63756.20137          254.346139
                0.18        -50977.24248          227.372421
                 0.2        -45135.05746         213.9205491
                0.22        -40503.69837         202.5805431
                0.24        -37412.80755         194.6562675
                0.26        -31822.64727         179.4888082
                0.28        -30952.14712         176.9760927
                 0.3        -28228.43738         168.9875187
                0.32        -26120.16315         162.5239145
                0.34        -25546.29663          160.711201
                0.36        -24350.53798         156.8839326
                0.38        -23685.71265         154.7126136
                 0.4        -23540.61548         154.2285097
                0.42        -22957.51266         152.2956655
                0.44        -22635.41905         151.2166878
                0.46        -22418.53573         150.4859588
                0.48        -22308.64645         150.1140911
                 0.5              -22275                 150
                0.52        -22343.44493         150.2310272
                0.54        -22430.72563         150.5263821
                0.56        -22542.03916         150.9028512
                0.58        -22623.38731         151.1802407
                 0.6        -22880.95481         152.0433007
                0.62        -23212.39718         153.1465092
                0.64        -23683.81177         154.6995025
                0.66        -23772.06373         154.9999838
                0.68        -24677.45327         157.9245854
                 0.7        -24676.45234         157.9357602
                0.72        -25161.92371         159.4933308
                0.74        -25676.56715         161.1256508
                0.76        -26479.44227         163.6309673
                0.78        -27009.19741         165.2659405
                 0.8          -27427.709         166.5534275
                0.82        -27496.19481         166.7776483
                0.84        -28482.48352         169.7485139
                0.86        -28631.14485         170.1952101
                0.88        -29655.31649         173.2342261
                 0.9        -30771.04571         176.4684505
                0.92        -31335.84066         178.0985427
                0.94        -32134.09836         180.3530106
                0.96        -32877.42023         182.4437996
                0.98        -32489.27983         181.3876901
                   1        -33969.01147         185.4729969
                1.02         -33873.9753         185.2384933
                1.04        -33782.34623         185.0273526
                1.06        -35471.65735         189.5791282
                1.08        -38001.58104         196.2270263
                 1.1        -36927.51463         193.4557827
                1.12        -37787.29394         195.7023898
                1.14        -40276.66154         202.0576874
                1.16         -41083.5496         204.0851759
                1.18        -42968.97268         208.6838569
                 1.2        -41366.54161         204.8263417
                1.22        -39547.87773         200.3506082
                1.24         -42667.8974         208.0762914
                1.26        -42872.46665         208.5651439
                1.28        -44737.82819         213.0636713
                 1.3        -46074.34481         216.2351852
                1.32        -42345.98002         207.4177873
                1.34        -44912.69241         213.6386563
                1.36        -47196.03701         218.9315692
                1.38        -48483.04684          221.990814
                 1.4        -49696.56696         224.7443248
                1.42        -47345.52221          219.451137
                1.44        -51367.08323         228.4966805
                1.46        -50776.09586         227.3182545
                1.48        -53802.88975          234.055272
                 1.5        -41099.86252         204.8595892
                1.52        -45542.27836         215.5646267
                1.54        -48674.40993         222.9483245
                1.56         -47362.3546         219.9808496
                1.58        -44602.63965         214.1143268
                 1.6        -40791.89228          204.843948
                1.62        -48016.54849         221.7159612
                1.64        -46482.57672         218.2034732
                1.66        -51351.92327         229.5759008
                1.68        -36474.44808         195.0234953
                 1.7        -50144.94497         226.9196797
                1.72        -37868.48309         198.1839662
                1.74         -24875.1415         163.8436359
                1.76        -34675.06376         190.9582984
                1.78        -29223.66969         176.5762752
                 1.8        -33524.35387         188.5563826
                1.82        -27890.43928         173.5985163
                1.84        -16947.76222         138.8104519
                1.86        -2489.789184         82.14357141
                1.88        -10326.61634         115.8912623
                 1.9        -14383.70533         130.1535506
                1.92        -7439.940217         105.1392285
                1.94         -13077.5399         124.3476194
                1.96         4363.294364        -46.96756542
                1.98         948.8247579         52.47918686
                   2         5828.242327        -30.37462278
