               alpha     variance_energy      expected_energy                time
                 0.1         90.81423703         39.21975235           1.0715008
                 0.2         16.13822661         21.75909562         1.036921523
                 0.3         4.265047564         16.98602409         0.962239222
                 0.4        0.7500006543          15.3506044         1.029396942
                 0.5                   0                  15         1.047379246
                 0.6         0.513088481         15.25135045         1.014599362
                 0.7         1.753943253         15.87099076         1.031809563
                 0.8         3.566847764         16.70456252         1.056348024
                 0.9         5.853052622         17.66829611         1.000996241
                   1         8.469950033          18.7425207         1.016095313
