               alpha     variance_energy     expected_energy
                0.02        -3648.298455         60.98413334
                0.04        -4205.176811         65.41430647
                0.06        -4153.875916         64.93337091
                0.08        -5681.155484         75.95975545
                 0.1        -6079.001623         78.56398052
                0.12        -6977.343689         84.08517299
                0.14        -7367.709207         86.37379884
                0.16        -7508.533231         87.18166489
                0.18        -8408.738277         92.23783597
                 0.2        -9608.794908         98.59991499
                0.22        -11434.55358         107.5634975
                0.24        -11244.84209          106.630245
                0.26         -11924.0934         109.7941457
                0.28        -12813.55059         113.8073829
                 0.3          -13749.143          117.875878
                0.32        -13881.62844         118.4418258
                0.34        -15333.44646         124.4723798
                0.36         -16061.0316         127.3829637
                0.38        -16888.44792         130.6196829
                 0.4        -17835.60972         134.2310348
                0.42         -18773.8484         137.7129703
                0.44        -19666.38799         140.9463117
                0.46        -20524.65503         143.9872555
                0.48         -21399.1978         147.0218813
                 0.5              -22275                 150
                0.52         -23113.4259         152.7972333
                0.54        -24052.20607         155.8703002
                0.56         -25100.2773         159.2309992
                0.58        -25970.65184         161.9708542
                 0.6        -26835.53344          164.649152
                0.62        -28397.60841         169.3726088
                0.64        -28729.68241         170.3649632
                0.66        -30713.91136         176.1494913
                0.68        -31334.44859         177.9234206
                 0.7        -31355.55885         177.9940628
                0.72        -31952.33754         179.6864344
                0.74        -35177.47362         188.5308406
                0.76        -36402.85965         191.7868316
                0.78        -36444.35668         191.9106981
                 0.8        -35722.84141         190.0242374
                0.82        -36657.71149         192.4963709
                0.84        -40008.59412         201.0863303
                0.86        -39919.29516         200.8733959
                0.88        -40005.62081         201.1161837
                 0.9        -42803.98619         208.0080129
                0.92        -45990.14318         215.6070411
                0.94        -44069.48811         211.0796778
                0.96        -51703.47964         228.5936472
                0.98        -49354.83711         223.3726824
                   1        -47565.86578         219.3229702
                1.02        -50238.33697         225.3984426
                1.04        -47816.03895         219.9553391
                1.06        -53859.60321         233.3841374
                1.08         -49548.1137         223.9021276
                 1.1         -55506.1532         236.9771778
                1.12        -54515.53577         234.8274606
                1.14        -59474.70064          245.252397
                1.16        -52727.11664         231.0414856
                1.18         -60483.6317         247.3544796
                 1.2        -63224.24634         252.9287987
                1.22         -68186.6889         262.6261115
                1.24        -66757.00943          259.878487
                1.26        -68458.30407         263.1541872
                1.28        -62236.53505          251.032648
                 1.3        -73412.03264         272.5029744
                1.32        -66842.28969         260.1488587
                1.34        -72039.50721         270.0201782
                1.36        -69373.76632         265.0336698
                1.38        -78150.67523         281.2511734
                 1.4        -75178.34996         275.9061542
                1.42         -75882.1954         277.1609358
                1.44        -85992.06669         294.9924037
                1.46        -78272.96948         281.5701706
                1.48        -77745.04592         280.7214368
                 1.5        -75856.58705         277.2560563
                1.52        -90912.46491         303.3757739
                1.54        -92215.83355         305.5145362
                1.56         -94266.5157         308.9116853
                1.58         -92213.8032         305.5989441
                 1.6        -95296.38709         310.6101955
                1.62        -93184.61903          307.220496
                1.64        -96382.87231         312.4641652
                1.66         -98331.1482         315.5950806
                1.68        -92533.60259         306.1798955
                 1.7        -106821.7295         328.8578971
                1.72        -117174.1495         344.3853023
                1.74        -110465.3435          334.470996
                1.76         -113007.162         338.2714117
                1.78        -115239.4953         341.5924799
                 1.8        -117464.2804         344.8891219
                1.82        -100862.1841         319.7844079
                1.84         -114082.013         339.9801426
                1.86        -107063.5151         329.5074927
                1.88        -120402.0935         349.2430136
                 1.9        -117456.1236         344.9756659
                1.92        -127184.0693         358.9115035
                1.94        -122387.1191         352.1276621
                1.96        -120100.6869         348.9423538
                1.98        -127052.6271         358.7866357
                   2          -140408.71          377.122316
