               alpha     variance_energy      expected_energy                time
                 0.1         28.60419787         12.99839496         0.618337783
                 0.2         5.696108039         7.316762088         0.593474071
                 0.3         1.414754336         5.657087888         0.567386994
                 0.4        0.2574341072          5.13193344         0.605508593
                 0.5                   0                   5         0.581985059
                 0.6        0.1654590703         5.091700939         0.577105323
                 0.7        0.5890970622         5.285466275         0.584242944
                 0.8         1.195324648         5.563401678         0.574047506
                 0.9         1.945543209         5.894360993         0.586345983
                   1         2.795734094         6.281426424         0.594535308
