               alpha     variance_energy      expected_energy                time
                 0.1         1270.969433         3.487256511            1.761795
        0.1310344828         826.6482213          2.83374615            1.749425
        0.1620689655         597.4662859         2.421799579            1.740202
        0.1931034483         464.4239613         2.143336458             1.73849
         0.224137931         381.7518105         1.948920768            2.073985
        0.2551724138         328.3816233         1.811485918            2.066823
        0.2862068966         291.9359045         1.710836057            1.926689
        0.3172413793         267.2436821         1.638900496            1.913134
        0.3482758621         250.1565658         1.587082468            1.950438
        0.3793103448         238.1263394         1.549473681            1.975747
        0.4103448276         230.2641724         1.524342267             1.97137
        0.4413793103         225.5412231         1.509022642            1.926007
        0.4724137931         223.1751558         1.501283482            2.023293
        0.5034482759         222.7555215         1.499919627            1.979453
        0.5344827586         223.9039891         1.503717677            1.983278
        0.5655172414         226.4240282         1.512009163            2.120012
        0.5965517241         230.0724316         1.523935672             2.25294
        0.6275862069         234.8060285         1.539288271            2.355295
        0.6586206897         240.4700132         1.557459506            2.420169
        0.6896551724          246.774939         1.577447625            2.427356
        0.7206896552         254.0085053         1.600091721            2.504259
        0.7517241379         261.8381368         1.624244673            2.499952
        0.7827586207         270.2849824         1.649943708            2.500808
        0.8137931034         279.5512287         1.677654011            2.497724
        0.8448275862         289.3552539         1.706500996            2.501996
         0.875862069         299.1658603         1.734869778            2.586707
        0.9068965517         309.8255557         1.765223856            2.710146
        0.9379310345         320.9932383          1.79646848            2.604196
        0.9689655172         333.1269455         1.829843224            2.598946
                   1         345.0199445         1.861918715            2.648889
