               alpha     variance_energy     expected_energy
                0.02        -42.60055753         6.560062323
                0.04        -156.0204743         12.55387863
                0.06        -338.6792442         18.49601569
                0.08        -597.0349408         24.55746993
                 0.1         -922.913936         30.53261062
                0.12        -1321.526253         36.53598106
                0.14          -1788.5071         42.50382691
                0.16        -2323.818789         48.44888008
                0.18        -2935.011698         54.44869498
                 0.2        -3618.993124         60.46115355
                0.22         -4379.37389          66.5102496
                0.24        -5193.062599         72.42595991
                0.26        -6085.387902         78.40190212
                0.28        -7048.759084         84.37985728
                 0.3        -8084.017858         90.36412951
                0.32        -9180.351845         96.29685375
                0.34        -10360.76706         102.3006465
                0.36        -11603.81251         108.2636754
                0.38        -12918.12532         114.2305212
                 0.4        -14303.73128         120.2007236
                0.42          -15758.848           126.16667
                0.44        -17283.72666         132.1298981
                0.46        -18877.91345            138.0891
                0.48        -20541.47822         144.0450205
                 0.5              -22275                 150
                0.52        -24077.20302         155.9500148
                0.54        -25950.89229         161.9043626
                0.56        -27896.20001         167.8629799
                0.58        -29907.19413         173.8081917
                 0.6        -31987.64817         179.7519306
                0.62        -34149.92529         185.7279594
                0.64        -36357.44375          191.636876
                0.66        -38668.59535         197.6339769
                0.68        -41014.68426         203.5410923
                 0.7        -43426.50578         209.4401135
                0.72        -45912.89373         215.3524202
                0.74        -48530.49796         221.4062097
                0.76        -51168.13305         227.3433259
                0.78        -53848.92848         233.2227793
                 0.8        -56570.26571         239.0432927
                0.82        -59423.31941         244.9970767
                0.84        -62382.49761         251.0231764
                0.86        -65334.08546         256.8930496
                0.88        -68352.85456           262.76093
                 0.9        -71532.08054         268.8022346
                0.92        -74766.26866         274.8117531
                0.94        -77939.91464         280.5836911
                0.96        -81441.76243         286.8177486
                0.98        -84747.14319         292.5802422
                   1        -88100.70148         298.3129906
                1.02        -91680.26238         304.3129298
                1.04        -95153.31276         310.0233977
                1.06        -98954.61842         316.1553459
                1.08        -102522.6436         321.8047226
                 1.1        -106463.6733          327.931594
                1.12        -110271.3693         333.7443229
                1.14        -114321.7794         339.8184694
                1.16        -117990.1946         345.2276078
                1.18         -122329.761          351.518825
                 1.2        -126505.0808         357.4674795
                1.22        -130935.3905         363.6729841
                1.24        -135034.5827         369.3218764
                1.26        -139439.3781         375.2971237
                1.28        -143501.4778         380.7244654
                 1.3        -148306.3832         387.0458964
                1.32        -152627.2602         392.6437156
                1.34        -157305.0395         398.6152394
                1.36        -161760.2606         404.2206982
                1.38        -166927.5167         410.6261242
                 1.4        -171636.1033         416.3772008
                1.42        -176345.5181         422.0509051
                1.44         -181742.607         428.4606555
                1.46        -186269.5318         433.7640845
                1.48        -191289.7145         439.5704969
                 1.5        -196246.8563         445.2296024
                1.52        -202129.2482         451.8530431
                1.54         -207377.292         457.6813653
                1.56        -212889.3756          463.724051
                1.58         -218084.407         469.3480246
                 1.6         -223529.112         475.1707571
                1.62        -229089.7208         481.0447624
                1.64        -234591.9117         486.7873117
                1.66        -240146.5712         492.5166677
                1.68        -245627.8212         498.1057105
                 1.7        -252248.4509         504.7739009
                1.72        -258665.9032         511.1544946
                1.74        -263828.7935         516.2307098
                1.76        -269736.5211         521.9784805
                1.78        -276163.1014         528.1600439
                 1.8        -282555.0478         534.2372794
                1.82        -287306.4073          538.710531
                1.84        -294356.2362         545.2797449
                1.86        -300192.1247         550.6587146
                1.88        -307451.1769         557.2766014
                 1.9         -313174.721         562.4399411
                1.92        -320448.8148         568.9342689
                1.94        -326535.0042          574.311724
                1.96          -332823.56         579.8156358
                1.98         -340195.705         586.2018881
                   2        -347980.7351         592.8711667
