               alpha     variance_energy      expected_energy                time
                 0.1         59.43248408         25.94684021         0.748750864
                 0.2         11.08307059         14.57647543         0.721771635
                 0.3         2.856591117          11.3414424         0.719419361
                 0.4         0.502449353         10.23839897         0.722551828
                 0.5                   0                  10          0.74209852
                 0.6        0.3370108448         10.16958304         0.750562195
                 0.7         1.164299613         10.57007337         0.743230773
                 0.8         2.406153259           11.115891         0.715003141
                 0.9         3.852273988         11.78636538         0.700998196
                   1          5.66552955         12.50531991         0.705628882
