               alpha     variance_energy     expected_energy
                0.02        -1053700.804         1036.342546
                0.04        -497663.9245         711.9099113
                0.06        -242761.9821         496.8326819
                0.08        -201988.9534         453.2434261
                 0.1        -126284.6947          358.254369
                0.12        -96748.56853         313.4444141
                0.14        -74087.42563         274.2270765
                0.16        -59424.54193         245.5533669
                0.18        -48849.17855         222.5743178
                 0.2        -44000.56835         211.2225295
                0.22          -41101.878         204.0776155
                0.24        -37078.66759         193.7769877
                0.26        -30846.90698          176.712393
                0.28         -30642.1316         176.0901058
                 0.3        -27909.65244          168.024921
                0.32         -25275.0348          159.874764
                0.34         -25284.0719         159.8831571
                0.36        -24427.47502         157.1337902
                0.38        -23510.72909         154.1382991
                 0.4        -23599.70126         154.4219904
                0.42        -22921.09214         152.1746573
                0.44        -22584.71314         151.0469097
                0.46        -22440.25722         150.5589067
                0.48        -22267.38686         149.9751719
                 0.5              -22275                 150
                0.52        -22324.34891         150.1667986
                0.54        -22368.80841         150.3186047
                0.56        -22552.61721         150.9384016
                0.58        -22606.32552         151.1232151
                 0.6        -22891.22484         152.0778741
                0.62        -23357.18012         153.6231315
                0.64        -23903.53459         155.4147904
                0.66        -23713.50624         154.8076496
                0.68        -24936.57992         158.7501321
                 0.7        -24751.54021         158.1721809
                0.72        -25176.12127         159.5381228
                0.74         -25959.0194         162.0032171
                0.76        -26662.93067         164.2014894
                0.78        -27730.39726         167.4525966
                 0.8        -26682.51963         164.2823979
                0.82        -28145.95022         168.7306695
                0.84        -28982.06577         171.2256434
                0.86         -29609.7288         173.0788664
                0.88        -29729.78397         173.4426799
                 0.9        -30934.25399         176.9359057
                0.92        -31771.84074         179.3186237
                0.94        -32319.98029         180.8743748
                0.96        -32715.71958         181.9951123
                0.98        -34235.91368         186.1657847
                   1        -34450.16549         186.7710117
                1.02        -34717.41749         187.5149446
                1.04        -35110.33357         188.5965678
                1.06        -38035.53313         196.2703358
                1.08        -38941.88486         198.6011876
                 1.1        -40150.86443           201.66571
                1.12        -38890.40394         198.5271873
                1.14        -41170.83494         204.2415794
                1.16        -41868.92947         205.9763734
                1.18        -42634.96515         207.8467041
                 1.2        -44181.25152          211.593592
                1.22        -44251.24221         211.7769114
                1.24        -45947.72227         215.8251412
                1.26        -46251.40643         216.5484397
                1.28        -48038.71611         220.6678909
                 1.3        -50321.37206         225.8766287
                1.32        -49956.44101         225.0737759
                1.34        -51421.50528         228.3496638
                1.36        -53151.38432         232.1538449
                1.38        -55671.13822          237.563349
                 1.4        -54317.58689         234.7390097
                1.42        -55843.52295         238.0119633
                1.44         -54779.3576         235.7630438
                1.46        -57183.94578         240.8683298
                1.48        -59908.62764          246.493216
                 1.5        -58505.03343         243.6527407
                1.52        -62397.09811         251.6119081
                1.54         -64931.5124         256.6576469
                1.56        -64908.26468          256.614782
                1.58        -65125.43855         257.1302206
                 1.6        -69494.89311         265.5328548
                1.62        -72457.82641         271.1250957
                1.64        -72228.72976         270.7313448
                1.66        -72382.29979         271.0509071
                1.68        -72469.61697         271.2288103
                 1.7        -72931.56665         272.0988781
                1.72        -75965.13627         277.6775563
                1.74        -77312.86632         280.1468581
                1.76        -82887.63711         290.0102818
                1.78        -82241.31448         288.9517501
                 1.8        -80533.31831         285.9670395
                1.82        -81655.69924           287.97362
                1.84         -80296.5169         285.5997479
                1.86        -81054.36422         286.9555567
                1.88        -86615.26817         296.6072358
                 1.9        -92842.43255         307.0147342
                1.92        -87557.92506         298.2395523
                1.94        -90816.87919          303.760929
                1.96        -97017.71758         313.8699807
                1.98        -90693.16939         303.5791856
                   2        -97937.98771         315.3563796
