               alpha     variance_energy     expected_energy
                0.02        -2169984.063         1486.444002
                0.04        -727392.4419         860.3010985
                0.06        -326099.6318         575.7299955
                0.08        -238430.9917         492.2557492
                 0.1        -143361.3085         381.6374535
                0.12        -104227.0666          325.301533
                0.14        -79573.96676         284.1790273
                0.16        -64712.94968         256.2479603
                0.18        -51904.49406         229.4428799
                 0.2        -45694.30919         215.2380791
                0.22        -40532.04692         202.6561013
                0.24        -37349.22311         194.4924149
                0.26        -31712.32741         179.1755835
                0.28        -31137.93019           177.50897
                 0.3        -28236.49483         169.0143724
                0.32        -26446.48772         163.5357909
                0.34        -25616.03944          160.930543
                0.36         -24531.5231         157.4678154
                0.38        -23652.24544         154.6035468
                 0.4        -23432.95583         153.8748883
                0.42        -22887.74652         152.0640058
                0.44        -22688.19849         151.3929744
                0.46        -22383.38862         150.3679409
                0.48         -22312.5941         150.1273761
                 0.5              -22275                 150
                0.52         -22338.8939         150.2157372
                0.54        -22420.29989          150.491374
                0.56        -22420.37812         150.4952729
                0.58        -22618.32916         151.1634702
                 0.6        -22906.96361         152.1293802
                0.62        -23136.37178         152.8962451
                0.64        -23621.52037         154.4970312
                0.66        -23738.26286         154.8896367
                0.68        -24384.51423         156.9876563
                 0.7        -24747.84175         158.1639392
                0.72        -25225.75932         159.6926325
                0.74        -25792.54596         161.4880099
                0.76        -26328.24048         163.1641391
                0.78         -26894.6675         164.9168361
                 0.8        -27338.77224          166.285686
                0.82        -27428.46683          166.578089
                0.84        -27896.73917         168.0020747
                0.86        -28312.66191         169.2543416
                0.88        -28933.96617         171.1286659
                 0.9        -31180.66371         177.6361523
                0.92        -31314.43816         178.0338663
                0.94        -31067.03898         177.3534962
                0.96        -31265.07993         177.9373284
                0.98        -30771.95005         176.5680762
                   1        -34187.44649         186.0799416
                1.02        -34140.14528         185.9733366
                1.04        -33356.61525         183.8827827
                1.06        -34804.56462         187.8038302
                1.08        -35731.73653         190.3395323
                 1.1        -36010.02136         191.0526353
                1.12        -36368.15841         192.0894967
                1.14        -37511.06658         195.0847475
                1.16        -38176.55501          196.847484
                1.18        -35736.74951         190.5231237
                 1.2        -40894.07448         203.7054677
                1.22         -38453.9711         197.6515969
                1.24        -39097.31991         199.3034833
                1.26        -38455.11842         197.7001159
                1.28        -42438.46028          207.647529
                 1.3        -37680.43069         195.9833492
                1.32        -38411.84234           197.74504
                1.34        -38114.78924         197.3235895
                1.36        -41556.23797         205.7581317
                1.38         -42428.1434         208.1749688
                 1.4        -31717.48899         180.8762331
                1.42        -36585.65565         193.7480273
                1.44        -33541.87215         185.4590423
                1.46        -31035.37562         179.3172237
                1.48        -31829.07132         182.0133429
                 1.5        -32150.94605         182.4006237
                1.52        -25369.95368         163.7068189
                1.54        -20139.05852         147.7802429
                1.56        -9116.884949          105.145057
                1.58         -20225.6357         148.5271817
                 1.6         1822.974805         46.08513532
                1.62        -14362.94482         127.4402947
                1.64        -5834.102044         89.12663023
                1.66        -211.1336131         56.90453752
                1.68         3905.731896         -24.1933442
                 1.7        -1277.817698         67.02578461
                1.72         2568.361219        -38.77102733
                1.74         1186.822114        -73.45271335
                1.76         524.7133676         -64.9508412
                1.78        -1700.442695        -87.67608583
                 1.8          5257.10728        -32.74984316
                1.82        -73684.48135        -296.0379616
                1.84        -56023.80536        -252.4165857
                1.86        -317285.0484        -578.9390097
                1.88        -171067.8605         -440.607569
                 1.9        -95088.53191        -323.8673781
                1.92        -258041.2475        -524.5341441
                1.94        -149330.7708        -399.6377428
                1.96        -733222.1507        -872.5555339
                1.98        -220856.4135        -483.9504282
                   2        -344705.4209        -603.5987441
