               alpha     variance_energy     expected_energy
                0.02        -132.6625701         11.59121444
                0.04         -303.557799         17.52039521
                0.06        -520.5289795         22.93510233
                0.08        -863.4373499         29.53855459
                 0.1         -1231.88614         35.28062076
                0.12        -1688.831143         41.30585896
                0.14        -2184.688215         46.97867809
                0.16        -2721.375951         52.43171708
                0.18        -3378.577689         58.42009444
                 0.2        -4122.882819         64.53499799
                0.22        -4990.841308         71.00400839
                0.24        -5744.570401         76.17595964
                0.26        -6645.182273         81.92969392
                0.28        -7616.097069         87.71078999
                 0.3        -8663.699557          93.5485613
                0.32        -9681.207861         98.88946145
                0.34        -10898.55511         104.9225209
                0.36        -12100.83909         110.5582737
                0.38        -13375.01976         116.2332652
                 0.4        -14720.80886         121.9407767
                0.42        -16121.27816         127.6093654
                0.44        -17578.45622         133.2517746
                0.46        -19088.46368         138.8570677
                0.48        -20652.15785         144.4325706
                 0.5              -22275                 150
                0.52        -23945.24607         155.5220882
                0.54        -25689.66881         161.0874635
                0.56         -27507.8848         166.6906125
                0.58        -29346.04491         172.1700135
                 0.6        -31239.71939         177.6382469
                0.62         -33303.8124          183.412902
                0.64        -35198.31649         188.5576662
                0.66        -37463.68184          194.530826
                0.68        -39471.20455         199.6749822
                 0.7        -41489.44761         204.7165328
                0.72         -43618.8065         209.9042557
                0.74        -46365.61493          216.412469
                0.76        -48717.74417         221.8338709
                0.78        -50885.06483         226.7150496
                 0.8        -52851.96502         231.0561485
                0.82        -55428.52455           236.62096
                0.84        -58405.43188         242.8915945
                0.86        -60737.38249         247.6933567
                0.88        -63108.36511         252.4824947
                 0.9        -66331.61298         258.8490837
                0.92        -69501.58599         264.9622083
                0.94        -71561.29356         268.8603529
                0.96        -75989.10933          277.052117
                0.98        -78095.76148         280.8674413
                   1        -80103.71345         284.4565422
                1.02        -83519.80398         290.4586157
                1.04        -85468.24531         293.8292297
                1.06        -89741.70732         301.0840822
                1.08        -91403.99041         303.8611847
                 1.1        -95789.28868         311.0662064
                1.12        -98482.40669         315.4065878
                1.14        -102721.2034         322.1219695
                1.16        -103194.3726         322.8677417
                1.18        -108782.5564         331.4917733
                 1.2        -112486.0822         337.0893929
                1.22        -117698.5168         344.8084766
                1.24        -119775.3948         347.8383287
                1.26        -123753.2486         353.5661923
                1.28        -124375.8937         354.4606725
                 1.3        -130808.9188          363.507495
                1.32         -132434.012         365.7627566
                1.34        -136727.0153         371.6423435
                1.36        -138668.3553         374.2751793
                1.38        -145795.6585         383.7714218
                 1.4        -148673.2846         387.5410532
                1.42        -151197.6603         390.8175645
                1.44        -158759.5438         400.4671544
                1.46        -158677.2511          400.372253
                1.48        -162104.6204         404.6775201
                 1.5        -164582.2816         407.7542079
                1.52        -174034.7097          419.295426
                1.54        -177847.7318         423.8634647
                1.56        -183150.8982         430.1364365
                1.58        -185515.7653         432.9099189
                 1.6        -189507.5342         437.5397621
                1.62        -193699.6195         442.3555057
                1.64        -197219.0134         446.3595233
                1.66        -200481.4397         450.0370184
                1.68        -202664.5059         452.4813204
                 1.7        -213377.4383         464.2766423
                1.72        -222036.2403         473.5986987
                1.74        -220643.6955         472.1247804
                1.76        -224251.2853         475.9669825
                1.78        -231287.1253         483.3750473
                 1.8        -237482.1726         489.8010257
                1.82        -231001.2859          483.086721
                1.84        -241586.7143         494.0239341
                1.86        -242243.5275         494.7079233
                1.88         -253401.188         505.9578435
                 1.9        -252722.2666          505.287048
                1.92         -262977.224         515.4319463
                1.94        -263842.8061         516.2850189
                1.96        -266011.3437         518.4106784
                1.98        -275352.7649         527.4247964
                   2        -287580.3702         539.0000527
