               alpha     variance_energy      expected_energy                time
                 0.1         1421.593975         3.746953725            3.353737
        0.1310344828         881.7229185         2.959243969            3.418465
        0.1620689655         632.7310423         2.512670834            4.151203
        0.1931034483          484.033456         2.200306355            3.841098
         0.224137931         393.2908282         1.986359046            4.104822
        0.2551724138         335.5002568         1.836223525            4.183516
        0.2862068966         296.0360393         1.726150107            4.107275
        0.3172413793         270.0260122          1.64946408            4.165192
        0.3482758621         251.7667566         1.593451514            4.315031
        0.3793103448         238.8755896         1.552566574            4.115032
        0.4103448276         230.9209955         1.526829681            4.273437
        0.4413793103          225.812528            1.510049            4.215136
        0.4724137931         223.3486347         1.501888948            4.525423
        0.5034482759         222.7617143         1.499926344            4.911596
        0.5344827586          223.906099         1.503739131             5.02634
        0.5655172414         226.4908789         1.512317306            5.221235
        0.5965517241         230.1246277          1.52428146            5.299359
        0.6275862069         235.1579102         1.540726366            5.312978
        0.6586206897         240.9409989         1.559375221            5.269997
        0.6896551724         247.9540092         1.581717667            5.247381
        0.7206896552         254.5989113         1.602601277            4.998781
        0.7517241379         263.2337135         1.629318152            4.806878
        0.7827586207         272.3123181         1.656984541            4.811534
        0.8137931034         280.9949689         1.682975881            4.795818
        0.8448275862         291.3343443         1.713452194            4.809232
         0.875862069          302.219486         1.744969942            4.805558
        0.9068965517         313.7881074         1.777898984            4.979676
        0.9379310345         326.2365433          1.81257248             4.83276
        0.9689655172         337.1693381         1.842412475            4.871839
                   1         349.7132047         1.876097677            4.991574
