               alpha     variance_energy      expected_energy                time
                 0.1         6403.054143         3.491379077           42.629068
        0.1310344828         4165.362103         2.837833267           49.851554
        0.1620689655         3010.175108         2.425033616           51.689996
        0.1931034483         2345.463387         2.148417262           52.950328
         0.224137931         1931.271097         1.954764562           54.030901
        0.2551724138         1660.561084         1.816168607           54.047194
        0.2862068966         1477.005033         1.715330359           53.985756
        0.3172413793         1350.558032          1.64200125           56.411001
        0.3482758621         1262.553208         1.588786455           55.100116
        0.3793103448         1202.237629          1.55116902           56.116263
        0.4103448276         1162.447021         1.525795518           56.113406
        0.4413793103         1138.058759         1.510006111           56.219142
        0.4724137931          1125.56351         1.501841908           56.662366
        0.5034482759         1122.871458         1.500080626           57.052479
        0.5344827586         1128.225108         1.503607858           56.311354
        0.5655172414         1140.392033         1.511591929           56.598717
        0.5965517241         1158.433918         1.523361788           57.190205
        0.6275862069         1181.742508         1.538445056           57.259593
        0.6586206897         1209.325682         1.556114456            56.91797
        0.6896551724         1240.769429         1.576024924           57.284037
        0.7206896552         1276.051741         1.598078952           56.873678
        0.7517241379         1315.223299         1.622227903           58.158008
        0.7827586207         1356.816074         1.647489783            57.79263
        0.8137931034         1402.114661         1.674590561           58.370427
        0.8448275862         1450.175984         1.702868456           57.299732
         0.875862069          1500.48092         1.731984126           61.893787
        0.9068965517         1554.131432         1.762504937           58.105022
        0.9379310345         1610.155751         1.793866191           59.312504
        0.9689655172         1668.858406         1.826128812           59.905622
                   1         1729.416356         1.858842904           60.175517
