               alpha     variance_energy      expected_energy                time
                 0.1         125.0045373         3.487182772       0.05333900001
        0.1310344828         81.28321514         2.848719439             0.05235
        0.1620689655         57.87483937          2.43327716            0.051504
        0.1931034483         44.65515343         2.156274402            0.044385
         0.224137931         36.50148162         1.964357853       0.04381199999
        0.2551724138         31.14040362         1.825855085       0.04242299999
        0.2862068966          27.5117241         1.724653435       0.04347399999
        0.3172413793          24.9188059         1.648276968             0.04512
        0.3482758621         23.15145671         1.594112012       0.04094399999
        0.3793103448         21.92105123         1.555027551            0.041406
        0.4103448276         21.11789407         1.528969145            0.041726
        0.4413793103          20.5988838         1.511753733            0.043309
        0.4724137931         20.32587491         1.502580837       0.04039200001
        0.5034482759         20.24971263         1.499986082            0.045711
        0.5344827586         20.33297612         1.502766058       0.03944199999
        0.5655172414         20.56233159         1.510502624            0.041008
        0.5965517241         20.88935402         1.521416907       0.04040499999
        0.6275862069          21.3246426         1.535848294            0.038997
        0.6586206897         21.84245857         1.552826558       0.03894899999
        0.6896551724         22.44255806          1.57233902            0.041859
        0.7206896552         23.08723984         1.592912869            0.038342
        0.7517241379         23.84633939         1.617114321            0.038419
        0.7827586207         24.65157171         1.642183607            0.040467
        0.8137931034         25.49160257         1.668095007       0.03958299999
        0.8448275862         26.41828502          1.69600294            0.038179
         0.875862069         27.35265361         1.723823194            0.041763
        0.9068965517         28.40765597         1.754923227            0.042154
        0.9379310345          29.4801798         1.785466892       0.03894299999
        0.9689655172         30.67457757         1.819743993       0.03976299999
                   1         31.81859579         1.851477048            0.038141
