               alpha     variance_energy     expected_energy
                0.02        -220737.6907         474.6013877
                0.04        -162171.4564         406.6115857
                0.06        -101948.8865         322.0332475
                0.08        -105122.2049         327.1670495
                 0.1        -76472.95034         279.0301134
                0.12        -66026.92904         258.9850824
                0.14        -53040.68577         232.0670124
                0.16        -43525.31611         210.1564604
                0.18        -38469.65438         197.4847487
                 0.2        -36676.07911         192.8403566
                0.22        -36675.01541         192.7904917
                0.24        -32887.56053         182.5022973
                0.26        -27973.21825         168.2847399
                0.28        -27832.14104         167.8275278
                 0.3        -25865.24604         161.7429283
                0.32        -23345.59291         153.6489664
                0.34        -24648.39138         157.8623463
                0.36        -23658.37779         154.6346026
                0.38        -23006.39554         152.4747346
                 0.4        -22930.56641          152.215822
                0.42        -22643.14668         151.2483852
                0.44         -22451.8981         150.6020427
                0.46        -22301.66012         150.0930634
                0.48        -22254.09171         149.9304196
                 0.5              -22275                 150
                0.52        -22355.91035         150.2729445
                0.54        -22477.64556         150.6837078
                0.56        -22709.86358         151.4636366
                0.58        -22993.14494         152.4100147
                 0.6        -23029.58907         152.5378388
                0.62        -23860.29972         155.2671513
                0.64        -24034.62617         155.8412504
                0.66        -24754.34098         158.1611869
                0.68        -25459.24554         160.4016963
                 0.7        -24940.90955         158.7822098
                0.72        -25471.61621         160.4726232
                0.74        -26778.91442         164.5357441
                0.76        -27382.21401         166.3895867
                0.78        -28383.53714         169.4059347
                 0.8        -27495.69351         166.7650615
                0.82        -27634.92801          167.198392
                0.84        -29874.28932         173.8299765
                0.86        -30498.01039         175.6452281
                0.88        -29862.09606         173.8414733
                 0.9        -30625.31628         176.0553951
                0.92        -32836.33501         182.2810558
                0.94         -32411.8271         181.1252577
                0.96        -34678.63958          187.339408
                0.98        -34621.85403         187.2087185
                   1        -34528.47501         186.9883946
                1.02        -35321.60633         189.1210099
                1.04        -35261.24969         189.0049902
                1.06        -39803.90487         200.7452067
                1.08        -38811.54394         198.2715904
                 1.1         -40883.1369          203.490713
                1.12        -39335.18463         199.6337772
                1.14        -41571.62641         205.2354203
                1.16        -39374.11876         199.8077944
                1.18        -43276.29663         209.4139115
                 1.2        -45314.67825         214.2688806
                1.22        -46963.37434         218.1261462
                1.24        -48025.20591         220.6121799
                1.26        -46023.80917         216.0295414
                1.28        -47942.69248         220.4739072
                 1.3        -52124.18049         229.8234764
                1.32        -50520.40681         226.3311972
                1.34        -54312.24808         234.6300329
                1.36        -53739.91733         233.4381797
                1.38         -56346.3078         238.9778645
                 1.4        -54332.02796         234.7669092
                1.42        -56024.84073         238.4087269
                1.44        -58758.04283         244.1043883
                1.46        -58784.57997         244.1761625
                1.48        -59894.00895         246.5312145
                 1.5        -59816.88542         246.3594552
                1.52        -65090.94284         256.9514051
                1.54        -70175.69339         266.7331178
                1.56         -67509.6466         261.6864615
                1.58        -65696.48006         258.1772134
                 1.6        -71343.80125         268.9915254
                1.62        -69961.46621         266.4333066
                1.64        -72862.26747         271.8785435
                1.66        -73943.05346         273.9135903
                1.68        -71992.58495         270.3267948
                 1.7        -77277.06841         280.0109906
                1.72        -79530.71733         284.0578243
                1.74        -82062.99481         288.5514906
                1.76        -86962.04013         296.9685279
                1.78        -85792.41051         295.0300796
                 1.8        -84978.72661         293.6727433
                1.82        -83584.25331         291.3113307
                1.84        -84621.23276         293.1035899
                1.86         -82716.0177         289.9147581
                1.88        -89114.05577         300.7710043
                 1.9        -91591.87856         304.9138437
                1.92        -94331.83288         309.4279724
                1.94        -95132.77621         310.7792514
                1.96        -98425.25094         316.1328871
                1.98        -97925.49516         315.3445667
                   2        -99745.05343         318.2549219
